id,google_id,name,rating,vicinity,latitude,longitude
1,ChIJJ1gfoWAddkgR1yu7BNP5WS0,"Holiday Inn Express",4.1,"196 High Street, London",51.5363312,-0.0046230
2,ChIJHSrgXGAddkgRGGck0yUnSvY,"The Westbridge Hotel- Stratford London",4.6,"335-337 High Street, London",51.5374260,-0.0022879
3,ChIJuTuly4yn2EcRyf6mskxXWAU,"City View Stratford",0,"11 Church Street, London",51.5362129,0.0075775
4,ChIJn9hF3F0ddkgRtZmDEloHbiM,"Travelodge London Stratford Hotel",3.7,"High Street, London",51.5369148,-0.0039387
5,ChIJu1JcBl4ddkgRbUhsiN-nnOA,"Belvedere Olympic One Eighty",0,"180 High Street, London",51.5355148,-0.0056062
6,ChIJ82CID2AddkgRLbXYAcUSLMs,"Stratford Apartments",0,"3 Cam Road, London",51.5365753,-0.0007443
7,ChIJYZ4gzYyn2EcRw3BRq_nA3GM,"City View Hotel",2.6,"11 Church Street, London, Stratford",51.5361862,0.0076488
8,ChIJU-XYEV4ddkgREUskNfsUW4s,"Hunsens Serviced Apartments",4.6,"1 Rick Roberts Way, Stratford",51.5351601,-0.0051270
9,ChIJWUtXnGAddkgRYWBaAxa4x4U,"London Boutique Apartments - Stratford",0,"Flat 9, White Cross Apartments, 269 High Street, London",51.5362396,-0.0038747
10,ChIJsSjFhGAddkgRoBqi8OCgQKk,"Short Let Only",0,"275-285 High Street, London",51.5364876,-0.0036126
11,ChIJbfnyK4qn2EcRQhKI2_MGYH4,"Lumos Foundation",0,"Gredley House, London",51.5398445,0.0010595
12,ChIJBxIc6_Sn2EcRKFKJbVn9oD8,"Mortham Cottage",0,"25A Mortham Street, London",51.5345764,0.0040314
13,ChIJ_b4PdfKn2EcRxVdML4htlTo,Indianeca,0,"129 Harcourt Road, London",51.5309372,0.0113961
14,ChIJz9faNu2n2EcR9rSU_LJPpDg,"The Hub",0,"Harberson Road, London",51.5355835,0.0135177
15,ChIJZe4RvZKn2EcRo--HgPKDl_w,Park,0,"81 Portway, London",51.5372887,0.0127253
16,ChIJb8EDVumn2EcR7Ctz8Rs7XRg,"Settle point",0,London,51.5307617,0.0180026
17,ChIJSyDfue6n2EcRA79NZj42DhI,Acasa,0,"14 Salmen Road, London",51.5301628,0.0178947
18,ChIJ43ktrBev2EcRLZP_OgcjU2I,"Abbey Wood Caravan Club Site",4.4,"Federation Road, London",51.4857521,0.1197170
19,ChIJfzZmChWv2EcR0-N5SlJ7U_c,"Abbeywood Apartment",0,"Flat 12, 8 Hermitage Close Abbey Wood, London",51.4913673,0.1190373
20,ChIJ-UjuAj-v2EcRi_H5x-SMLdw,"Julius Lodge",4,"124 Mottisfont Road, London",51.4913521,0.1142279
21,ChIJfXtyRz-v2EcRP-Fdoidgp94,"Chris Lodge",0,"59 Chalcombe Road, London",51.4929085,0.1131113
22,ChIJd_N9xBKv2EcRg8-rVR1bAeM,"The Bat Cave",4.7,"64 Sydney Road, London",51.4929581,0.1270836
23,ChIJ5242weYRdkgR5M0Obx8vOd0,"Holiday Inn London West",4,"4 Portal Way, London",51.5210114,-0.2628618
24,ChIJfRh-mecRdkgRnsUnbXM4Gbk,"Holiday Inn Express London - Park Royal",4.2,"Victoria Road, London",51.5230560,-0.2594550
25,ChIJM3wnRR0OdkgRr2Kui6ykZ_I,"London Guest House",4.3,"167 Horn Lane, London",51.5139771,-0.2696413
26,ChIJ28y1YB0OdkgRHdrji0i7iYI,"A to Z Hotel",2.5,"150 Horn Lane, London",51.5143204,-0.2689840
27,ChIJy44OE-cRdkgRHTjgZ_rWPWc,hotel,0,A4000,51.5210152,-0.2629718
28,ChIJxyp8rOIRdkgR9T6gpt_V00Q,"Little Island Holidays",0,"41A Essex Road, London",51.5151253,-0.2713507
